From src:'1'	To src:'3'
CHEMBL313405	ABZ
CHEMBL1399676	MQN
CHEMBL2347208	1HL
CHEMBL334167	SG2
CHEMBL3342582	8CF
CHEMBL328910	DOB
CHEMBL1364	UEG
CHEMBL2219861	UBU
CHEMBL1087397	831
CHEMBL4521790	OUP
CHEMBL614	PZA
CHEMBL3409982	BNJ
CHEMBL295698	KLN
CHEMBL1237000	ZYN
CHEMBL77785	NHP
CHEMBL1783734	2N8
CHEMBL146186	U8D
CHEMBL4085850	80L
CHEMBL1427	HPA
CHEMBL1289601	LEV
CHEMBL4560579	P6J
CHEMBL339695	4YS
CHEMBL3814479	J9K
CHEMBL1615211	S2G
CHEMBL293478	1V3
CHEMBL3298414	2SH
CHEMBL3597698	43L
CHEMBL3884293	6H3
CHEMBL113	CFF
CHEMBL336908	878
CHEMBL496189	I5T
CHEMBL169046	HC3
CHEMBL2436013	24Y
CHEMBL305686	3AD
CHEMBL200435	2NI
CHEMBL182323	IID
CHEMBL3596389	GTI
CHEMBL180517	EI1
CHEMBL3647424	EA4
CHEMBL1481149	TZN
CHEMBL2058204	5U7
CHEMBL189607	PM1
CHEMBL2316886	1E4
CHEMBL86795	LZ1
CHEMBL3819644	WOS
CHEMBL1232634	F4C
CHEMBL3676150	N9Q
CHEMBL4449356	4Y5
CHEMBL11873	5Y9
CHEMBL2178479	WMJ
CHEMBL1232542	EP2
CHEMBL2104737	R2D
CHEMBL1231606	C4F
CHEMBL3937413	6DY
CHEMBL171148	AH1
CHEMBL233553	C75
CHEMBL1397063	EQX
CHEMBL330546	2OP
CHEMBL2316256	R45
CHEMBL2312304	V5W
CHEMBL2251810	43W
CHEMBL1466999	2J1
CHEMBL1234980	OL2
CHEMBL1236182	TAF
CHEMBL4467164	FWP
CHEMBL1084081	C9P
CHEMBL445813	LZE
CHEMBL1234720	NHC
CHEMBL72434	IHG
CHEMBL233360	417
CHEMBL1197798	L1E
CHEMBL65730	R04
CHEMBL1235254	PG4
CHEMBL1236167	T76
CHEMBL2178806	15V
CHEMBL3398641	4GR
CHEMBL1234341	MIZ
CHEMBL1165708	XXT
CHEMBL925	TYR
CHEMBL4080323	8M9
CHEMBL571546	DN0
CHEMBL4519240	DY3
CHEMBL4591961	9K2
