pdbCompoundId,pdbStructureId
08J,5te8
0LI,4c8b
0LI,4u0i
0LI,6tu9
0LI,3ik3
0MO,3i8v
13P,1wpq
147,2wgz
173,1sze
1E8,5p9i
1J4,4j53
1KS,4jkv
1LT,4jps
1N1,4qms
1N1,3g5d
1PG,1pin
1PG,6bbe
1PG,2arp
231,5phe
243,2vst
29S,4xi3
2C7,3dd8
2GG,2uwd
2HC,5bnl
2KL,2wi7
2OH,2e2r
2OP,4qo7
2YQ,4pjv
353,3f82
358,1ove
3AT,4lt6
3AT,1k90
3HE,6y0g
3PG,2wzb
3PG,4gwk
3PG,2p9t
3PO,1cul
3QZ,3qz1
3SY,6e8y
458,2b1v
462,2qu3
4BH,2ccs
4BM,7m0x
4DY,2n27
501,1zgv
50U,2zdk
5GP,1ex7
5ID,2c47
5ID,5ax3
5IG,2g1y
5IU,1a6y
5IU,1a31
5IU,1lei
5IU,3bsu
5MC,6xbo
5MC,6tb3
5MU,6mtd
5NS,3cft
5RM,1xm6
5SF,5ew8
62G,5hls
66F,7d5b
685,3emg
68H,7dhi
692,3fud
697,1x76
6D8,5irv
6EA,2f7z
6EU,6bwj
6RL,5kby
6T2,5lby
6T2,6bqp
701,2jh0
740,2r64
789,1zaf
793,3fpm
797,1u3s
7D6,5irq
7X1,2vwu
82A,2ojj
853,1o48
893,2h96
895,2uwl
8BR,5rhn
8BR,1ro9
8PR,3v5w
936,1kbq
94M,4z1g
997,1tft
9CR,5z12
9CR,1fm6
9DB,5nxc
9DG,7nq4
9PL,3t3z
9SC,7voe
9Y6,6agn
A3M,1n1m
A3P,1zrh
A3P,5x2b
